DATE,KEY,ROOMS_BEFORE,ROOMS_AFTER,ROOMS_SAVED
2026-01-02,02/01/2026_07g00_1,52,28,24
2026-01-02,02/01/2026_07g00_2,71,33,38
2026-01-02,02/01/2026_09g30_1,5,2,3
2026-01-02,02/01/2026_09g30_2,20,7,13
2026-01-02,02/01/2026_13g00_1,14,6,8
2026-01-02,02/01/2026_13g00_2,35,13,22
2026-01-02,02/01/2026_15g30_1,5,5,0
2026-01-02,02/01/2026_15g30_2,4,4,0
2026-01-02,02/01/2026_18g15_1,7,3,4
2026-01-03,03/01/2026_07g00_1,20,6,14
2026-01-03,03/01/2026_07g00_2,28,10,18
2026-01-03,03/01/2026_09g30_1,27,27,0
2026-01-03,03/01/2026_09g30_2,39,39,0
2026-01-03,03/01/2026_13g00_1,11,4,7
2026-01-03,03/01/2026_13g00_2,14,6,8
2026-01-03,03/01/2026_15g30_1,2,2,0
2026-01-03,03/01/2026_15g30_2,3,3,0
2026-01-04,04/01/2026_07g00_1,33,13,20
2026-01-04,04/01/2026_07g00_2,50,23,27
2026-01-04,04/01/2026_09g30_1,15,6,9
2026-01-04,04/01/2026_09g30_2,4,4,0
2026-01-04,04/01/2026_13g00_1,20,8,12
2026-01-04,04/01/2026_13g00_2,38,14,24
2026-01-04,04/01/2026_15g30_1,6,4,2
2025-12-15,15/12/2025_07g00_1,42,31,11
2025-12-15,15/12/2025_07g00_2,71,65,6
2025-12-15,15/12/2025_09g30_1,19,9,10
2025-12-15,15/12/2025_09g30_2,13,5,8
2025-12-15,15/12/2025_13g00_1,10,6,4
2025-12-15,15/12/2025_13g00_2,24,14,10
2025-12-15,15/12/2025_15g30_1,2,2,0
2025-12-15,15/12/2025_15g30_2,3,3,0
2025-12-16,16/12/2025_07g00_1,15,7,8
2025-12-16,16/12/2025_07g00_2,8,5,3
2025-12-16,16/12/2025_09g30_1,9,5,4
2025-12-16,16/12/2025_09g30_2,18,14,4
2025-12-16,16/12/2025_13g00_1,18,16,2
2025-12-16,16/12/2025_13g00_2,36,27,9
2025-12-16,16/12/2025_15g30_1,7,3,4
2025-12-16,16/12/2025_15g30_2,15,7,8
2025-12-17,17/12/2025_07g00_1,39,18,21
2025-12-17,17/12/2025_07g00_2,61,39,22
2025-12-17,17/12/2025_13g00_1,44,20,24
2025-12-17,17/12/2025_13g00_2,64,25,39
2025-12-17,17/12/2025_15g30_1,1,1,0
2025-12-17,17/12/2025_15g30_2,1,1,0
2025-12-18,18/12/2025_07g00_1,22,17,5
2025-12-18,18/12/2025_07g00_2,43,33,10
2025-12-18,18/12/2025_09g30_1,5,4,1
2025-12-18,18/12/2025_09g30_2,7,4,3
2025-12-18,18/12/2025_13g00_1,42,20,22
2025-12-18,18/12/2025_13g00_2,56,22,34
2025-12-18,18/12/2025_15g30_1,4,2,2
2025-12-18,18/12/2025_15g30_2,5,3,2
2025-12-19,19/12/2025_07g00_1,12,4,8
2025-12-19,19/12/2025_07g00_2,38,14,24
2025-12-19,19/12/2025_09g30_1,40,38,2
2025-12-19,19/12/2025_09g30_2,48,46,2
2025-12-19,19/12/2025_13g00_1,26,12,14
2025-12-19,19/12/2025_13g00_2,55,21,34
2025-12-19,19/12/2025_15g30_1,2,2,0
2025-12-19,19/12/2025_15g30_2,4,4,0
2025-12-20,20/12/2025_07g00_2,2,1,1
2025-12-20,20/12/2025_09g30_1,1,1,0
2025-12-20,20/12/2025_09g30_2,2,2,0
2025-12-22,22/12/2025_07g00_1,55,46,9
2025-12-22,22/12/2025_07g00_2,59,49,10
2025-12-22,22/12/2025_09g30_1,11,6,5
2025-12-22,22/12/2025_09g30_2,51,46,5
2025-12-22,22/12/2025_13g00_1,21,8,13
2025-12-22,22/12/2025_13g00_2,36,13,23
2025-12-22,22/12/2025_15g30_1,3,3,0
2025-12-22,22/12/2025_15g30_2,24,24,0
2025-12-22,22/12/2025_18g15_1,12,4,8
2025-12-23,23/12/2025_07g00_1,55,48,7
2025-12-23,23/12/2025_07g00_2,57,48,9
2025-12-23,23/12/2025_09g30_1,21,9,12
2025-12-23,23/12/2025_09g30_2,57,49,8
2025-12-23,23/12/2025_13g00_1,14,6,8
2025-12-23,23/12/2025_13g00_2,33,20,13
2025-12-23,23/12/2025_15g30_1,2,2,0
2025-12-23,23/12/2025_15g30_2,4,4,0
2025-12-23,23/12/2025_18g15_1,12,5,7
2025-12-24,24/12/2025_07g00_1,53,22,31
2025-12-24,24/12/2025_07g00_2,70,26,44
2025-12-24,24/12/2025_09g30_1,12,7,5
2025-12-24,24/12/2025_09g30_2,14,5,9
2025-12-24,24/12/2025_13g00_1,31,28,3
2025-12-24,24/12/2025_13g00_2,64,55,9
2025-12-24,24/12/2025_15g30_1,10,6,4
2025-12-24,24/12/2025_15g30_2,6,4,2
2025-12-24,24/12/2025_18g15_1,18,5,13
2025-12-25,25/12/2025_07g00_1,51,24,27
2025-12-25,25/12/2025_07g00_2,62,23,39
2025-12-25,25/12/2025_09g30_1,5,3,2
2025-12-25,25/12/2025_09g30_2,11,6,5
2025-12-25,25/12/2025_13g00_1,14,7,7
2025-12-25,25/12/2025_13g00_2,19,9,10
2025-12-25,25/12/2025_15g30_1,7,5,2
2025-12-25,25/12/2025_15g30_2,2,2,0
2025-12-25,25/12/2025_18g15_1,12,4,8
